Type,Library,Test,Result
1. Parse Validation,RapidJSON Iterative (C++),fail20,true
1. Parse Validation,RapidJSON Iterative (C++),fail21,true
1. Parse Validation,RapidJSON Iterative (C++),fail22,true
1. Parse Validation,RapidJSON Iterative (C++),fail23,true
1. Parse Validation,RapidJSON Iterative (C++),fail24,true
1. Parse Validation,RapidJSON Iterative (C++),fail25,true
1. Parse Validation,RapidJSON Iterative (C++),fail26,true
1. Parse Validation,RapidJSON Iterative (C++),fail27,true
1. Parse Validation,RapidJSON Iterative (C++),fail28,true
1. Parse Validation,RapidJSON Iterative (C++),fail29,true
1. Parse Validation,RapidJSON Iterative (C++),fail30,true
1. Parse Validation,RapidJSON Iterative (C++),fail31,true
1. Parse Validation,RapidJSON Iterative (C++),fail32,true
1. Parse Validation,RapidJSON Iterative (C++),fail33,true
1. Parse Validation,RapidJSON Iterative (C++),number_-9223372036854775808,true
1. Parse Validation,RapidJSON Iterative (C++),string_2_escaped_invalid_codepoints,false
1. Parse Validation,RapidJSON Iterative (C++),string_1_invalid_codepoint,true
1. Parse Validation,RapidJSON Iterative (C++),object_same_key_unclear_values,true
1. Parse Validation,RapidJSON Iterative (C++),object_key_nfc_nfd,true
1. Parse Validation,RapidJSON Iterative (C++),string_3_escaped_invalid_codepoints,false
1. Parse Validation,RapidJSON Iterative (C++),number_1.000000000000000005,true
1. Parse Validation,RapidJSON Iterative (C++),string_with_escaped_NULL,true
1. Parse Validation,RapidJSON Iterative (C++),number_1e6,true
1. Parse Validation,RapidJSON Iterative (C++),string_3_invalid_codepoints,true
1. Parse Validation,RapidJSON Iterative (C++),number_1.0,true
1. Parse Validation,RapidJSON Iterative (C++),string_2_invalid_codepoints,true
1. Parse Validation,RapidJSON Iterative (C++),number_9223372036854775807,true
1. Parse Validation,RapidJSON Iterative (C++),number_1000000000000000,true
1. Parse Validation,RapidJSON Iterative (C++),number_10000000000000000999,true
1. Parse Validation,RapidJSON Iterative (C++),number_-9223372036854775809,true
1. Parse Validation,RapidJSON Iterative (C++),object_same_key_different_values,true
1. Parse Validation,RapidJSON Iterative (C++),object_key_nfd_nfc,true
1. Parse Validation,RapidJSON Iterative (C++),object_same_key_same_value,true
1. Parse Validation,RapidJSON Iterative (C++),number_9223372036854775808,true
1. Parse Validation,RapidJSON Iterative (C++),number_1e-999,true
1. Parse Validation,RapidJSON Iterative (C++),string_1_escaped_invalid_codepoint,false
2. Parse Double,RapidJSON Iterative (C++),double01,true
2. Parse Double,RapidJSON Iterative (C++),double02,true
2. Parse Double,RapidJSON Iterative (C++),double03,true
2. Parse Double,RapidJSON Iterative (C++),double04,true
2. Parse Double,RapidJSON Iterative (C++),double05,true
2. Parse Double,RapidJSON Iterative (C++),double06,true
2. Parse Double,RapidJSON Iterative (C++),double07,true
2. Parse Double,RapidJSON Iterative (C++),double08,true
2. Parse Double,RapidJSON Iterative (C++),double09,true
2. Parse Double,RapidJSON Iterative (C++),double10,true
2. Parse Double,RapidJSON Iterative (C++),double11,true
2. Parse Double,RapidJSON Iterative (C++),double12,true
2. Parse Double,RapidJSON Iterative (C++),double13,true
2. Parse Double,RapidJSON Iterative (C++),double14,true
2. Parse Double,RapidJSON Iterative (C++),double15,true
2. Parse Double,RapidJSON Iterative (C++),double16,true
2. Parse Double,RapidJSON Iterative (C++),double17,true
2. Parse Double,RapidJSON Iterative (C++),double18,true
2. Parse Double,RapidJSON Iterative (C++),double19,false
2. Parse Double,RapidJSON Iterative (C++),double20,true
2. Parse Double,RapidJSON Iterative (C++),double21,false
2. Parse Double,RapidJSON Iterative (C++),double22,true
2. Parse Double,RapidJSON Iterative (C++),double23,true
2. Parse Double,RapidJSON Iterative (C++),double24,true
2. Parse Double,RapidJSON Iterative (C++),double25,true
2. Parse Double,RapidJSON Iterative (C++),double26,true
2. Parse Double,RapidJSON Iterative (C++),double27,true
2. Parse Double,RapidJSON Iterative (C++),double28,true
2. Parse Double,RapidJSON Iterative (C++),double29,false
2. Parse Double,RapidJSON Iterative (C++),double30,true
2. Parse Double,RapidJSON Iterative (C++),double31,true
2. Parse Double,RapidJSON Iterative (C++),double32,false
2. Parse Double,RapidJSON Iterative (C++),double33,true
2. Parse Double,RapidJSON Iterative (C++),double34,true
2. Parse Double,RapidJSON Iterative (C++),double35,true
2. Parse Double,RapidJSON Iterative (C++),double36,true
2. Parse Double,RapidJSON Iterative (C++),double37,false
2. Parse Double,RapidJSON Iterative (C++),double38,true
2. Parse Double,RapidJSON Iterative (C++),double39,true
2. Parse Double,RapidJSON Iterative (C++),double40,false
