Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
2. Stringify,Qt (C++),twitter,7.419949,24,24,1,0
3. Prettify,Qt (C++),citm_catalog,14.701782,24,24,1,0
3. Prettify,Qt (C++),canada,52.516964,24,24,1,0
3. Prettify,Qt (C++),twitter,7.964827,24,24,1,0
4. Statistics,Qt (C++),citm_catalog,3.059615,0,0,0,0
4. Statistics,Qt (C++),canada,5.518268,0,0,0,0
4. Statistics,Qt (C++),twitter,1.584083,0,0,0,0
1. Parse,Configuru (C++11),citm_catalog,20.820789,4866992,4867072,56007,0
1. Parse,Configuru (C++11),canada,49.848678,10438248,10450824,170258,0
1. Parse,Configuru (C++11),twitter,8.368570,2333968,2334048,27879,0
2. Stringify,Configuru (C++11),citm_catalog,5.752350,983088,1474824,10952,0
2. Stringify,Configuru (C++11),canada,218.096723,3932208,5898368,23,0
2. Stringify,Configuru (C++11),twitter,2.451409,491568,737888,1280,0
3. Prettify,Configuru (C++11),citm_catalog,7.775848,983088,1474776,10952,0
3. Prettify,Configuru (C++11),canada,220.765569,3932208,5898368,23,0
3. Prettify,Configuru (C++11),twitter,3.650640,983088,1475168,1281,0
4. Statistics,Configuru (C++11),citm_catalog,0.964192,0,0,0,0
4. Statistics,Configuru (C++11),canada,2.728122,0,0,0,0
4. Statistics,Configuru (C++11),twitter,0.424217,0,0,0,0
1. Parse,C++ REST SDK (C++11),citm_catalog,17.238785,2709792,2709816,69966,0
1. Parse,C++ REST SDK (C++11),canada,73.888527,6909248,6909312,392462,0
1. Parse,C++ REST SDK (C++11),twitter,7.707983,1753856,1754160,28021,0
2. Stringify,C++ REST SDK (C++11),citm_catalog,3.607784,500352,1484800,20,0
2. Stringify,C++ REST SDK (C++11),canada,71.992336,2251072,10027072,33,0
2. Stringify,C++ REST SDK (C++11),twitter,1.665536,466976,1352000,22,0
4. Statistics,C++ REST SDK (C++11),citm_catalog,0.516550,0,0,0,0
4. Statistics,C++ REST SDK (C++11),canada,1.391461,0,0,0,0
4. Statistics,C++ REST SDK (C++11),twitter,0.218482,0,0,0,0
1. Parse,dropbox json11 (C++11),citm_catalog,11.999119,4598216,6325424,70675,0
1. Parse,dropbox json11 (C++11),canada,42.856025,11133168,13384232,281382,0
1. Parse,dropbox json11 (C++11),twitter,7.044496,2126416,2757944,32396,0
2. Stringify,dropbox json11 (C++11),citm_catalog,4.964829,983088,1474616,17,0
2. Stringify,dropbox json11 (C++11),canada,74.241015,3932208,5898296,19,0
2. Stringify,dropbox json11 (C++11),twitter,4.022324,983088,1474616,17,0
4. Statistics,dropbox json11 (C++11),citm_catalog,1.071112,0,0,0,0
4. Statistics,dropbox json11 (C++11),canada,3.930068,0,0,0,0
4. Statistics,dropbox json11 (C++11),twitter,0.562059,0,0,0,0
1. Parse,FastJson (C++),citm_catalog,10.700469,2687432,4415176,22,0
1. Parse,FastJson (C++),canada,20.642957,8715384,10966984,22,0
1. Parse,FastJson (C++),twitter,4.643553,1361560,1994216,24,0
2. Stringify,FastJson (C++),citm_catalog,10.381434,501040,501040,2,0
2. Stringify,FastJson (C++),canada,78.778295,2251072,2251072,2,0
2. Stringify,FastJson (C++),twitter,3.101775,562464,562464,2,0
4. Statistics,FastJson (C++),citm_catalog,0.322583,0,0,0,0
4. Statistics,FastJson (C++),canada,1.005448,0,0,0,0
4. Statistics,FastJson (C++),twitter,0.130319,0,0,0,0
1. Parse,gason (C++11),citm_catalog,4.554122,2548064,2548064,202,0
1. Parse,gason (C++11),canada,5.880987,4943344,4943344,658,0
1. Parse,gason (C++11),twitter,1.613880,964008,964008,83,0
2. Stringify,gason (C++11),citm_catalog,13.836921,601088,1649672,14,0
2. Stringify,gason (C++11),canada,53.733984,1295040,3392200,15,0
2. Stringify,gason (C++11),twitter,6.890277,481712,1006008,13,0
3. Prettify,gason (C++11),citm_catalog,20.219237,1802128,3899288,15,0
3. Prettify,gason (C++11),canada,84.155443,7316176,15704792,17,0
3. Prettify,gason (C++11),twitter,8.351649,768752,1817336,14,0
4. Statistics,gason (C++11),citm_catalog,0.348954,0,0,0,0
4. Statistics,gason (C++11),canada,0.594974,0,0,0,0
4. Statistics,gason (C++11),twitter,0.251186,0,0,0,0
1. Parse,JeayeSON (C++14),citm_catalog,31.381840,3815568,13175592,224033,0
1. Parse,JeayeSON (C++14),canada,78.947654,9809048,31679264,442970,0
1. Parse,JeayeSON (C++14),twitter,18.771680,1958888,6509584,128624,0
2. Stringify,JeayeSON (C++14),citm_catalog,5.458685,499600,1023896,1374,0
2. Stringify,JeayeSON (C++14),canada,64.278885,1043296,2091880,15,0
2. Stringify,JeayeSON (C++14),twitter,4.206503,465632,989928,6730,0
4. Statistics,JeayeSON (C++14),citm_catalog,0.455632,0,0,0,0
4. Statistics,JeayeSON (C++14),canada,1.649504,0,0,0,0
4. Statistics,JeayeSON (C++14),twitter,0.259854,0,0,0,0
1. Parse,JsonBox (C++),citm_catalog,91.751313,3781112,7235568,246869,0
1. Parse,JsonBox (C++),canada,281.866563,7491744,12385832,974083,0
1. Parse,JsonBox (C++),twitter,46.025548,1917384,3776096,84564,0
2. Stringify,JsonBox (C++),citm_catalog,59.681454,499616,1023912,2733,0
2. Stringify,JsonBox (C++),canada,237.289432,2251072,6445384,18,0
2. Stringify,JsonBox (C++),twitter,39.430688,465392,989688,12823,0
3. Prettify,JsonBox (C++),citm_catalog,47.996546,889472,1938056,2734,0
3. Prettify,JsonBox (C++),canada,196.705664,3923792,8118104,18,0
3. Prettify,JsonBox (C++),twitter,31.483531,575456,1624040,12824,0
4. Statistics,JsonBox (C++),citm_catalog,0.740835,0,0,0,0
4. Statistics,JsonBox (C++),canada,1.369380,0,0,0,0
4. Statistics,JsonBox (C++),twitter,0.299550,0,0,0,0
1. Parse,jsoncons (C++),citm_catalog,17.230941,2443688,2495080,46391,0
1. Parse,jsoncons (C++),canada,51.905136,5367744,6138704,112113,0
1. Parse,jsoncons (C++),twitter,9.146408,1161752,1212960,11724,0
2. Stringify,jsoncons (C++),citm_catalog,4.083059,983088,1474856,22,0
2. Stringify,jsoncons (C++),canada,21.445274,3932208,5898536,509,0
2. Stringify,jsoncons (C++),twitter,3.857971,491584,737720,22,0
3. Prettify,jsoncons (C++),citm_catalog,3.617006,500352,1024648,19,0
3. Prettify,jsoncons (C++),canada,20.046842,2090560,4187720,506,0
3. Prettify,jsoncons (C++),twitter,3.154192,466960,991256,20,0
4. Statistics,jsoncons (C++),citm_catalog,0.805368,0,56,451,0
4. Statistics,jsoncons (C++),canada,1.411579,0,24,1,0
4. Statistics,jsoncons (C++),twitter,0.427114,0,472,2336,0
1. Parse,JsonCpp (C++),citm_catalog,18.673439,4523664,4526288,60544,0
1. Parse,JsonCpp (C++),canada,185.491775,17850592,17853336,552083,0
1. Parse,JsonCpp (C++),twitter,11.157558,1353984,1356608,22495,0
2. Stringify,JsonCpp (C++),citm_catalog,9.716407,501040,1026328,15559,0
2. Stringify,JsonCpp (C++),canada,111.946936,2251072,6446376,111111,0
2. Stringify,JsonCpp (C++),twitter,8.448797,562464,1612040,14297,0
4. Statistics,JsonCpp (C++),citm_catalog,3.052221,0,56,1360,0
4. Statistics,JsonCpp (C++),canada,10.203324,0,24,1,0
4. Statistics,JsonCpp (C++),twitter,1.439364,0,472,6405,0
1. Parse,JSON Spirit (C++),citm_catalog,45.568759,2975904,6014224,292596,0
1. Parse,JSON Spirit (C++),canada,61.771789,9362656,9854296,435430,0
1. Parse,JSON Spirit (C++),twitter,14.834952,1370976,2787200,80570,0
2. Stringify,JSON Spirit (C++),citm_catalog,7.110912,502080,1026376,1725,0
2. Stringify,JSON Spirit (C++),canada,86.256354,2251072,6445384,17,0
